Postcode,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
CT18,18450.2,6.1,17184.9,5.5,0.1172,15854.9,5.4,0.1062,15974.9,5.3,20181.8,6.6,20299.1,6.7,10995.3,3.9,26484.5,8.4,16541.6,5.3,0.15889999999999999,20714.9,6.9,0.12069999999999999
CT19,8441.222222222223,3.111111111111111,7065.0,2.6666666666666665,0.25633333333333336,6938.444444444444,2.7777777777777777,0.20555555555555555,9194.666666666666,3.4444444444444446,11374.666666666666,4.111111111111111,5649.222222222223,2.3333333333333335,23224.444444444445,7.666666666666667,13722.333333333334,4.888888888888889,7873.888888888889,3.0,0.3194444444444444,8330.222222222223,2.7777777777777777,0.2727777777777778
CT2,20857.5,6.8,20955.4,7.0,0.09329999999999998,22168.9,7.2,0.0749,20257.8,6.7,19380.1,6.5,18561.9,6.1,12499.3,4.4,20509.8,6.8,18693.4,6.3,0.15119999999999997,20602.1,6.8,0.1276
CT20,12795.8,4.4,11557.1,4.0,0.1941,10538.2,3.6,0.15929999999999997,16117.0,5.4,13040.5,4.3,12668.5,4.5,17769.8,5.9,11183.8,3.8,11063.7,3.9,0.2716,14548.8,5.0,0.1916
CT21,17665.11111111111,5.666666666666667,15180.555555555555,5.444444444444445,0.1298888888888889,15223.888888888889,5.222222222222222,0.11344444444444446,18783.222222222223,6.111111111111111,15182.666666666666,5.222222222222222,20222.333333333332,6.777777777777778,15230.222222222223,5.444444444444445,20749.555555555555,6.777777777777778,13327.222222222223,4.555555555555555,0.2042222222222222,20165.444444444445,6.555555555555555,0.12200000000000001
CT3,15192.0,5.0,17187.666666666668,5.888888888888889,0.11322222222222221,16618.11111111111,5.666666666666667,0.10077777777777779,16037.444444444445,5.222222222222222,20232.555555555555,6.888888888888889,18493.666666666668,6.0,6464.111111111111,2.4444444444444446,12117.555555555555,4.0,17639.11111111111,5.666666666666667,0.14133333333333334,19737.666666666668,6.555555555555555,0.12722222222222224
CT4,17961.333333333332,6.111111111111111,23195.222222222223,7.555555555555555,0.07377777777777779,24524.88888888889,7.777777777777778,0.06466666666666668,25328.222222222223,8.0,25757.777777777777,8.555555555555555,20573.222222222223,6.666666666666667,1173.0,1.1111111111111112,10998.666666666666,4.0,22943.666666666668,7.555555555555555,0.09022222222222223,24832.555555555555,8.11111111111111,0.08777777777777777
CT5,18887.3,6.3,17627.7,5.9,0.13740000000000002,16563.7,5.6,0.11380000000000001,14907.9,5.1,19149.0,6.3,20597.4,6.7,14811.0,4.9,25573.1,8.4,17989.3,6.0,0.1669,18746.8,6.2,0.16109999999999997
CT50,23257.5,7.7,22036.8,7.4,0.078,23013.9,7.1,0.06900000000000002,21267.3,7.3,23152.8,7.7,25863.5,8.0,10548.3,3.6,15932.0,5.0,13340.5,4.6,0.1919,27284.4,8.4,0.07220000000000001
CT6,16840.1,5.6,15863.9,5.2,0.1328,14327.0,4.9,0.1222,11675.8,4.1,16670.6,5.6,21790.2,7.1,14960.0,5.1,21933.1,7.1,16009.4,5.3,0.1666,19039.5,6.5,0.135
CT7,13831.4,4.7,13567.8,4.7,0.14720000000000003,11714.6,4.0,0.1347,12300.8,4.2,16000.4,5.3,18942.8,6.2,14158.0,4.8,20005.7,6.7,14387.0,5.0,0.1806,15620.9,5.3,0.1627
CT8,10115.4,3.6,9349.8,3.4,0.18939999999999996,7789.9,3.0,0.17250000000000001,9481.9,3.4,12548.5,4.5,13012.0,4.4,17637.8,5.9,13211.2,4.5,12926.9,4.5,0.1979,8483.6,3.1,0.24970000000000003
CT9,6702.7,2.7,7055.7,2.9,0.30100000000000005,5959.2,2.5,0.25749999999999995,6998.1,2.7,9149.2,3.4,2652.3,1.7,16918.6,5.7,11427.5,3.9,8791.5,3.2,0.33830000000000005,9074.2,3.3,0.2852
CV1,4618.9,1.9,8691.6,3.3,0.2572,11595.9,4.3,0.18830000000000002,7294.7,3.0,3394.2,1.5,4073.0,2.0,3743.4,1.8,3372.5,1.6,5652.5,2.4,0.35350000000000004,3351.5,1.7,0.42810000000000004
CV10,13709.4,4.7,13971.1,5.0,0.14919999999999997,13498.0,4.5,0.12329999999999999,9838.9,3.6,13371.7,4.5,10487.0,3.6,18364.8,6.1,16869.6,5.6,12953.2,4.5,0.2076,15169.0,5.3,0.17099999999999999
